Lucia,Gomez,15,3º ESO,8.2
Carlos,Suarez,16,4º ESO,7.9
Diego,Fernandez,17,1º Bach,8.7
Ana,Vazquez,16,4º ESO,7.1
Paula,Mendez,18,2º Bach,9.1
Raul,Iglesias,18,2º Bach,7.5
Elena,Perez,17,1º Bach,7.8
Iria,Castro,15,3º ESO,8.5
Nerea,Garcia,18,2º Bach,7.3
Alvaro,Rodriguez,16,4º ESO,8.0
Sofia,Martinez,17,1º Bach,9.0
Marta,Diaz,18,2º Bach,8.4
Pablo,Navarro,16,4º ESO,7.6
Laura,Ruiz,17,1º Bach,8.9
Adrian,Alvarez,15,3º ESO,7.2
Diego,Silva,16,4º ESO,8.3
Javier,Lopez,15,3º ESO,9.2
Hugo,Jimenez,16,4º ESO,7.4
Miriam,Ramos,17,1º Bach,8.1
